UBIGEO,DEPARTAMEN,PROVINCIA,DISTRITO,mean,min,max,std,count,percentile_10,percentile_90
230202,TACNA,CANDARAVE,CAIRANI,-0.04420733451843262,-5.498301029205322,6.6967926025390625,3.7809641279740394,8,-3.9580342769622803,4.798494338989258
090106,HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,-0.0001636039127003063,-1.3114023208618164,2.4310719966888428,1.1463271717002728,11,-1.165427565574646,1.3204797506332397
080505,CUSCO,CANAS,LAYO,0.0008282320840018136,-1.6227866411209106,5.696220874786377,1.8314120737688493,14,-1.5350279808044434,1.525369644165039
080503,CUSCO,CANAS,KUNTURKANKI,0.003195753464331994,-1.0285568237304688,0.8747636675834656,0.5162934649970102,13,-0.6196560263633728,0.5434781908988953
080806,CUSCO,ESPINAR,PICHIGUA,0.007305210190159934,-1.1149688959121704,1.0162653923034668,0.7029110132171212,7,-0.7754980325698853,0.9567433595657349
120909,JUNIN,CHUPACA,YANACANCHA,0.008988399505615235,-1.127043604850769,1.797667145729065,0.7962088120124196,25,-0.8916089534759521,1.0750890970230103
040103,AREQUIPA,AREQUIPA,CAYMA,0.09418202936649323,-1.90446937084198,3.398782968521118,2.2186118901573453,8,-1.8030518293380737,3.013007879257202
151033,LIMA,YAUYOS,VITIS,0.1382760008176168,-0.6036012172698975,1.1909574270248413,0.7648789134772801,3,-0.5173866152763367,0.9182602167129517
120810,JUNIN,YAULI,YAULI,0.19056046803792318,-1.0115251541137695,1.9541832208633423,0.7407968607754672,15,-0.49855664372444153,1.0767050981521606
210406,PUNO,CHUCUITO,POMATA,0.19505926278921273,-2.033647298812866,4.699281215667725,1.8768842546050784,13,-1.7387107610702515,2.833901882171631
210215,PUNO,AZANGARO,TIRAPATA,0.1988025563103812,-0.04015110060572624,0.571936309337616,0.18793310904579752,7,0.026540860533714294,0.4109095335006714
151030,LIMA,YAUYOS,TOMAS,0.20159077644348145,-0.4639472961425781,0.9835712313652039,0.5717460701751648,10,-0.4525371789932251,0.9648635983467102
090403,HUANCAVELICA,CASTROVIRREYNA,AURAHUA,0.2116211744455191,-1.0349315404891968,2.451295852661133,0.9756032341878733,13,-0.835160493850708,1.416217565536499
210604,PUNO,HUANCANE,INCHUPALLA,0.21677255630493164,-1.673154354095459,1.0955402851104736,0.8877025013138605,11,-1.2616151571273804,0.8426482081413269
210108,PUNO,PUNO,HUATA,0.23115316033363342,0.10694821923971176,0.33959850668907166,0.08802611965039052,4,0.1336999237537384,0.32230255007743835
151016,LIMA,YAUYOS,HUANTAN,0.25326379140218097,-1.6044946908950806,4.947702884674072,1.8122444990205064,18,-1.2289155721664429,2.797665596008301
